+---------+-----------+--------+-----------+--------------------------------------------------+
| Unicode | Shift-JIS |  JIS   | Character | Description                                      |
| 0x5638  | 0x9A7E    | 0x535F | 嘸        | <CJK>                                            |
| 0x566B  | 0x9A80    | 0x5360 | 噫        | <CJK>                                            |
| 0x5664  | 0x9A81    | 0x5361 | 噤        | <CJK>                                            |
| 0x562F  | 0x9A82    | 0x5362 | 嘯        | <CJK>                                            |
| 0x566C  | 0x9A83    | 0x5363 | 噬        | <CJK>                                            |
| 0x566A  | 0x9A84    | 0x5364 | 噪        | <CJK>                                            |
| 0x5686  | 0x9A85    | 0x5365 | 嚆        | <CJK>                                            |
| 0x5680  | 0x9A86    | 0x5366 | 嚀        | <CJK>                                            |
| 0x568A  | 0x9A87    | 0x5367 | 嚊        | <CJK>                                            |
| 0x56A0  | 0x9A88    | 0x5368 | 嚠        | <CJK>                                            |
| 0x5694  | 0x9A89    | 0x5369 | 嚔        | <CJK>                                            |
| 0x568F  | 0x9A8A    | 0x536A | 嚏        | <CJK>                                            |
| 0x56A5  | 0x9A8B    | 0x536B | 嚥        | <CJK>                                            |
| 0x56AE  | 0x9A8C    | 0x536C | 嚮        | <CJK>                                            |
| 0x56B6  | 0x9A8D    | 0x536D | 嚶        | <CJK>                                            |
| 0x56B4  | 0x9A8E    | 0x536E | 嚴        | <CJK>                                            |
| 0x56C2  | 0x9A8F    | 0x536F | 囂        | <CJK>                                            |
| 0x56BC  | 0x9A90    | 0x5370 | 嚼        | <CJK>                                            |
| 0x56C1  | 0x9A91    | 0x5371 | 囁        | <CJK>                                            |
| 0x56C3  | 0x9A92    | 0x5372 | 囃        | <CJK>                                            |
| 0x56C0  | 0x9A93    | 0x5373 | 囀        | <CJK>                                            |
| 0x56C8  | 0x9A94    | 0x5374 | 囈        | <CJK>                                            |
| 0x56CE  | 0x9A95    | 0x5375 | 囎        | <CJK>                                            |
| 0x56D1  | 0x9A96    | 0x5376 | 囑        | <CJK>                                            |
| 0x56D3  | 0x9A97    | 0x5377 | 囓        | <CJK>                                            |
| 0x56D7  | 0x9A98    | 0x5378 | 囗        | <CJK>                                            |
| 0x56EE  | 0x9A99    | 0x5379 | 囮        | <CJK>                                            |
| 0x56F9  | 0x9A9A    | 0x537A | 囹        | <CJK>                                            |
| 0x5700  | 0x9A9B    | 0x537B | 圀        | <CJK>                                            |
| 0x56FF  | 0x9A9C    | 0x537C | 囿        | <CJK>                                            |
| 0x5704  | 0x9A9D    | 0x537D | 圄        | <CJK>                                            |
| 0x5709  | 0x9A9E    | 0x537E | 圉        | <CJK>                                            |
| 0x5708  | 0x9A9F    | 0x5421 | 圈        | <CJK>                                            |
| 0x570B  | 0x9AA0    | 0x5422 | 國        | <CJK>                                            |
| 0x570D  | 0x9AA1    | 0x5423 | 圍        | <CJK>                                            |
| 0x5713  | 0x9AA2    | 0x5424 | 圓        | <CJK>                                            |
| 0x5718  | 0x9AA3    | 0x5425 | 團        | <CJK>                                            |
| 0x5716  | 0x9AA4    | 0x5426 | 圖        | <CJK>                                            |
| 0x55C7  | 0x9AA5    | 0x5427 | 嗇        | <CJK>                                            |
| 0x571C  | 0x9AA6    | 0x5428 | 圜        | <CJK>                                            |
| 0x5726  | 0x9AA7    | 0x5429 | 圦        | <CJK>                                            |
| 0x5737  | 0x9AA8    | 0x542A | 圷        | <CJK>                                            |
| 0x5738  | 0x9AA9    | 0x542B | 圸        | <CJK>                                            |
| 0x574E  | 0x9AAA    | 0x542C | 坎        | <CJK>                                            |
| 0x573B  | 0x9AAB    | 0x542D | 圻        | <CJK>                                            |
| 0x5740  | 0x9AAC    | 0x542E | 址        | <CJK>                                            |
| 0x574F  | 0x9AAD    | 0x542F | 坏        | <CJK>                                            |
| 0x5769  | 0x9AAE    | 0x5430 | 坩        | <CJK>                                            |
| 0x57C0  | 0x9AAF    | 0x5431 | 埀        | <CJK>                                            |
| 0x5788  | 0x9AB0    | 0x5432 | 垈        | <CJK>                                            |
| 0x5761  | 0x9AB1    | 0x5433 | 坡        | <CJK>                                            |
| 0x577F  | 0x9AB2    | 0x5434 | 坿        | <CJK>                                            |
| 0x5789  | 0x9AB3    | 0x5435 | 垉        | <CJK>                                            |
| 0x5793  | 0x9AB4    | 0x5436 | 垓        | <CJK>                                            |
| 0x57A0  | 0x9AB5    | 0x5437 | 垠        | <CJK>                                            |
| 0x57B3  | 0x9AB6    | 0x5438 | 垳        | <CJK>                                            |
| 0x57A4  | 0x9AB7    | 0x5439 | 垤        | <CJK>                                            |
| 0x57AA  | 0x9AB8    | 0x543A | 垪        | <CJK>                                            |
| 0x57B0  | 0x9AB9    | 0x543B | 垰        | <CJK>                                            |
| 0x57C3  | 0x9ABA    | 0x543C | 埃        | <CJK>                                            |
| 0x57C6  | 0x9ABB    | 0x543D | 埆        | <CJK>                                            |
| 0x57D4  | 0x9ABC    | 0x543E | 埔        | <CJK>                                            |
| 0x57D2  | 0x9ABD    | 0x543F | 埒        | <CJK>                                            |
| 0x57D3  | 0x9ABE    | 0x5440 | 埓        | <CJK>                                            |
| 0x580A  | 0x9ABF    | 0x5441 | 堊        | <CJK>                                            |
| 0x57D6  | 0x9AC0    | 0x5442 | 埖        | <CJK>                                            |
| 0x57E3  | 0x9AC1    | 0x5443 | 埣        | <CJK>                                            |
| 0x580B  | 0x9AC2    | 0x5444 | 堋        | <CJK>                                            |
| 0x5819  | 0x9AC3    | 0x5445 | 堙        | <CJK>                                            |
| 0x581D  | 0x9AC4    | 0x5446 | 堝        | <CJK>                                            |
| 0x5872  | 0x9AC5    | 0x5447 | 塲        | <CJK>                                            |
| 0x5821  | 0x9AC6    | 0x5448 | 堡        | <CJK>                                            |
| 0x5862  | 0x9AC7    | 0x5449 | 塢        | <CJK>                                            |
| 0x584B  | 0x9AC8    | 0x544A | 塋        | <CJK>                                            |
| 0x5870  | 0x9AC9    | 0x544B | 塰        | <CJK>                                            |
| 0x6BC0  | 0x9ACA    | 0x544C | 毀        | <CJK>                                            |
| 0x5852  | 0x9ACB    | 0x544D | 塒        | <CJK>                                            |
| 0x583D  | 0x9ACC    | 0x544E | 堽        | <CJK>                                            |
| 0x5879  | 0x9ACD    | 0x544F | 塹        | <CJK>                                            |
| 0x5885  | 0x9ACE    | 0x5450 | 墅        | <CJK>                                            |
| 0x58B9  | 0x9ACF    | 0x5451 | 墹        | <CJK>                                            |
| 0x589F  | 0x9AD0    | 0x5452 | 墟        | <CJK>                                            |
| 0x58AB  | 0x9AD1    | 0x5453 | 墫        | <CJK>                                            |
| 0x58BA  | 0x9AD2    | 0x5454 | 墺        | <CJK>                                            |
| 0x58DE  | 0x9AD3    | 0x5455 | 壞        | <CJK>                                            |
| 0x58BB  | 0x9AD4    | 0x5456 | 墻        | <CJK>                                            |
| 0x58B8  | 0x9AD5    | 0x5457 | 墸        | <CJK>                                            |
| 0x58AE  | 0x9AD6    | 0x5458 | 墮        | <CJK>                                            |
| 0x58C5  | 0x9AD7    | 0x5459 | 壅        | <CJK>                                            |
| 0x58D3  | 0x9AD8    | 0x545A | 壓        | <CJK>                                            |
| 0x58D1  | 0x9AD9    | 0x545B | 壑        | <CJK>                                            |
| 0x58D7  | 0x9ADA    | 0x545C | 壗        | <CJK>                                            |
| 0x58D9  | 0x9ADB    | 0x545D | 壙        | <CJK>                                            |
| 0x58D8  | 0x9ADC    | 0x545E | 壘        | <CJK>                                            |
| 0x58E5  | 0x9ADD    | 0x545F | 壥        | <CJK>                                            |
| 0x58DC  | 0x9ADE    | 0x5460 | 壜        | <CJK>                                            |
| 0x58E4  | 0x9ADF    | 0x5461 | 壤        | <CJK>                                            |
| 0x58DF  | 0x9AE0    | 0x5462 | 壟        | <CJK>                                            |
| 0x58EF  | 0x9AE1    | 0x5463 | 壯        | <CJK>                                            |
| 0x58FA  | 0x9AE2    | 0x5464 | 壺        | <CJK>                                            |
| 0x58F9  | 0x9AE3    | 0x5465 | 壹        | <CJK>                                            |
| 0x58FB  | 0x9AE4    | 0x5466 | 壻        | <CJK>                                            |
| 0x58FC  | 0x9AE5    | 0x5467 | 壼        | <CJK>                                            |
| 0x58FD  | 0x9AE6    | 0x5468 | 壽        | <CJK>                                            |
| 0x5902  | 0x9AE7    | 0x5469 | 夂        | <CJK>                                            |
| 0x590A  | 0x9AE8    | 0x546A | 夊        | <CJK>                                            |
| 0x5910  | 0x9AE9    | 0x546B | 夐        | <CJK>                                            |
| 0x591B  | 0x9AEA    | 0x546C | 夛        | <CJK>                                            |
| 0x68A6  | 0x9AEB    | 0x546D | 梦        | <CJK>                                            |
| 0x5925  | 0x9AEC    | 0x546E | 夥        | <CJK>                                            |
| 0x592C  | 0x9AED    | 0x546F | 夬        | <CJK>                                            |
| 0x592D  | 0x9AEE    | 0x5470 | 夭        | <CJK>                                            |
| 0x5932  | 0x9AEF    | 0x5471 | 夲        | <CJK>                                            |
| 0x5938  | 0x9AF0    | 0x5472 | 夸        | <CJK>                                            |
| 0x593E  | 0x9AF1    | 0x5473 | 夾        | <CJK>                                            |
| 0x7AD2  | 0x9AF2    | 0x5474 | 竒        | <CJK>                                            |
| 0x5955  | 0x9AF3    | 0x5475 | 奕        | <CJK>                                            |
| 0x5950  | 0x9AF4    | 0x5476 | 奐        | <CJK>                                            |
| 0x594E  | 0x9AF5    | 0x5477 | 奎        | <CJK>                                            |
| 0x595A  | 0x9AF6    | 0x5478 | 奚        | <CJK>                                            |
| 0x5958  | 0x9AF7    | 0x5479 | 奘        | <CJK>                                            |
| 0x5962  | 0x9AF8    | 0x547A | 奢        | <CJK>                                            |
| 0x5960  | 0x9AF9    | 0x547B | 奠        | <CJK>                                            |
| 0x5967  | 0x9AFA    | 0x547C | 奧        | <CJK>                                            |
| 0x596C  | 0x9AFB    | 0x547D | 奬        | <CJK>                                            |
| 0x5969  | 0x9AFC    | 0x547E | 奩        | <CJK>                                            |
| 0x5978  | 0x9B40    | 0x5521 | 奸        | <CJK>                                            |
| 0x5981  | 0x9B41    | 0x5522 | 妁        | <CJK>                                            |
| 0x599D  | 0x9B42    | 0x5523 | 妝        | <CJK>                                            |
| 0x4F5E  | 0x9B43    | 0x5524 | 佞        | <CJK>                                            |
| 0x4FAB  | 0x9B44    | 0x5525 | 侫        | <CJK>                                            |
| 0x59A3  | 0x9B45    | 0x5526 | 妣        | <CJK>                                            |
| 0x59B2  | 0x9B46    | 0x5527 | 妲        | <CJK>                                            |
| 0x59C6  | 0x9B47    | 0x5528 | 姆        | <CJK>                                            |
| 0x59E8  | 0x9B48    | 0x5529 | 姨        | <CJK>                                            |
| 0x59DC  | 0x9B49    | 0x552A | 姜        | <CJK>                                            |
| 0x598D  | 0x9B4A    | 0x552B | 妍        | <CJK>                                            |
| 0x59D9  | 0x9B4B    | 0x552C | 姙        | <CJK>                                            |
| 0x59DA  | 0x9B4C    | 0x552D | 姚        | <CJK>                                            |
| 0x5A25  | 0x9B4D    | 0x552E | 娥        | <CJK>                                            |
| 0x5A1F  | 0x9B4E    | 0x552F | 娟        | <CJK>                                            |
| 0x5A11  | 0x9B4F    | 0x5530 | 娑        | <CJK>                                            |
| 0x5A1C  | 0x9B50    | 0x5531 | 娜        | <CJK>                                            |
| 0x5A09  | 0x9B51    | 0x5532 | 娉        | <CJK>                                            |
| 0x5A1A  | 0x9B52    | 0x5533 | 娚        | <CJK>                                            |
| 0x5A40  | 0x9B53    | 0x5534 | 婀        | <CJK>                                            |
| 0x5A6C  | 0x9B54    | 0x5535 | 婬        | <CJK>                                            |
| 0x5A49  | 0x9B55    | 0x5536 | 婉        | <CJK>                                            |
| 0x5A35  | 0x9B56    | 0x5537 | 娵        | <CJK>                                            |
| 0x5A36  | 0x9B57    | 0x5538 | 娶        | <CJK>                                            |
| 0x5A62  | 0x9B58    | 0x5539 | 婢        | <CJK>                                            |
| 0x5A6A  | 0x9B59    | 0x553A | 婪        | <CJK>                                            |
| 0x5A9A  | 0x9B5A    | 0x553B | 媚        | <CJK>                                            |
| 0x5ABC  | 0x9B5B    | 0x553C | 媼        | <CJK>                                            |
| 0x5ABE  | 0x9B5C    | 0x553D | 媾        | <CJK>                                            |
| 0x5ACB  | 0x9B5D    | 0x553E | 嫋        | <CJK>                                            |
| 0x5AC2  | 0x9B5E    | 0x553F | 嫂        | <CJK>                                            |
| 0x5ABD  | 0x9B5F    | 0x5540 | 媽        | <CJK>                                            |
| 0x5AE3  | 0x9B60    | 0x5541 | 嫣        | <CJK>                                            |
| 0x5AD7  | 0x9B61    | 0x5542 | 嫗        | <CJK>                                            |
| 0x5AE6  | 0x9B62    | 0x5543 | 嫦        | <CJK>                                            |
| 0x5AE9  | 0x9B63    | 0x5544 | 嫩        | <CJK>                                            |
| 0x5AD6  | 0x9B64    | 0x5545 | 嫖        | <CJK>                                            |
| 0x5AFA  | 0x9B65    | 0x5546 | 嫺        | <CJK>                                            |
| 0x5AFB  | 0x9B66    | 0x5547 | 嫻        | <CJK>                                            |
| 0x5B0C  | 0x9B67    | 0x5548 | 嬌        | <CJK>                                            |
| 0x5B0B  | 0x9B68    | 0x5549 | 嬋        | <CJK>                                            |
| 0x5B16  | 0x9B69    | 0x554A | 嬖        | <CJK>                                            |
| 0x5B32  | 0x9B6A    | 0x554B | 嬲        | <CJK>                                            |
| 0x5AD0  | 0x9B6B    | 0x554C | 嫐        | <CJK>                                            |
| 0x5B2A  | 0x9B6C    | 0x554D | 嬪        | <CJK>                                            |
| 0x5B36  | 0x9B6D    | 0x554E | 嬶        | <CJK>                                            |
| 0x5B3E  | 0x9B6E    | 0x554F | 嬾        | <CJK>                                            |
| 0x5B43  | 0x9B6F    | 0x5550 | 孃        | <CJK>                                            |
| 0x5B45  | 0x9B70    | 0x5551 | 孅        | <CJK>                                            |
| 0x5B40  | 0x9B71    | 0x5552 | 孀        | <CJK>                                            |
| 0x5B51  | 0x9B72    | 0x5553 | 孑        | <CJK>                                            |
| 0x5B55  | 0x9B73    | 0x5554 | 孕        | <CJK>                                            |
| 0x5B5A  | 0x9B74    | 0x5555 | 孚        | <CJK>                                            |
| 0x5B5B  | 0x9B75    | 0x5556 | 孛        | <CJK>                                            |
| 0x5B65  | 0x9B76    | 0x5557 | 孥        | <CJK>                                            |
| 0x5B69  | 0x9B77    | 0x5558 | 孩        | <CJK>                                            |
| 0x5B70  | 0x9B78    | 0x5559 | 孰        | <CJK>                                            |
| 0x5B73  | 0x9B79    | 0x555A | 孳        | <CJK>                                            |
| 0x5B75  | 0x9B7A    | 0x555B | 孵        | <CJK>                                            |
| 0x5B78  | 0x9B7B    | 0x555C | 學        | <CJK>                                            |
| 0x6588  | 0x9B7C    | 0x555D | 斈        | <CJK>                                            |
| 0x5B7A  | 0x9B7D    | 0x555E | 孺        | <CJK>                                            |
| 0x5B80  | 0x9B7E    | 0x555F | 宀        | <CJK>                                            |
| 0x5B83  | 0x9B80    | 0x5560 | 它        | <CJK>                                            |
| 0x5BA6  | 0x9B81    | 0x5561 | 宦        | <CJK>                                            |
| 0x5BB8  | 0x9B82    | 0x5562 | 宸        | <CJK>                                            |
| 0x5BC3  | 0x9B83    | 0x5563 | 寃        | <CJK>                                            |
| 0x5BC7  | 0x9B84    | 0x5564 | 寇        | <CJK>                                            |
| 0x5BC9  | 0x9B85    | 0x5565 | 寉        | <CJK>                                            |
| 0x5BD4  | 0x9B86    | 0x5566 | 寔        | <CJK>                                            |
| 0x5BD0  | 0x9B87    | 0x5567 | 寐        | <CJK>                                            |
| 0x5BE4  | 0x9B88    | 0x5568 | 寤        | <CJK>                                            |
| 0x5BE6  | 0x9B89    | 0x5569 | 實        | <CJK>                                            |
| 0x5BE2  | 0x9B8A    | 0x556A | 寢        | <CJK>                                            |
| 0x5BDE  | 0x9B8B    | 0x556B | 寞        | <CJK>                                            |
| 0x5BE5  | 0x9B8C    | 0x556C | 寥        | <CJK>                                            |
| 0x5BEB  | 0x9B8D    | 0x556D | 寫        | <CJK>                                            |
| 0x5BF0  | 0x9B8E    | 0x556E | 寰        | <CJK>                                            |
| 0x5BF6  | 0x9B8F    | 0x556F | 寶        | <CJK>                                            |
| 0x5BF3  | 0x9B90    | 0x5570 | 寳        | <CJK>                                            |
| 0x5C05  | 0x9B91    | 0x5571 | 尅        | <CJK>                                            |
| 0x5C07  | 0x9B92    | 0x5572 | 將        | <CJK>                                            |
| 0x5C08  | 0x9B93    | 0x5573 | 專        | <CJK>                                            |
| 0x5C0D  | 0x9B94    | 0x5574 | 對        | <CJK>                                            |
| 0x5C13  | 0x9B95    | 0x5575 | 尓        | <CJK>                                            |
| 0x5C20  | 0x9B96    | 0x5576 | 尠        | <CJK>                                            |
| 0x5C22  | 0x9B97    | 0x5577 | 尢        | <CJK>                                            |
| 0x5C28  | 0x9B98    | 0x5578 | 尨        | <CJK>                                            |
| 0x5C38  | 0x9B99    | 0x5579 | 尸        | <CJK>                                            |
| 0x5C39  | 0x9B9A    | 0x557A | 尹        | <CJK>                                            |
| 0x5C41  | 0x9B9B    | 0x557B | 屁        | <CJK>                                            |
| 0x5C46  | 0x9B9C    | 0x557C | 屆        | <CJK>                                            |
| 0x5C4E  | 0x9B9D    | 0x557D | 屎        | <CJK>                                            |
| 0x5C53  | 0x9B9E    | 0x557E | 屓        | <CJK>                                            |
| 0x5C50  | 0x9B9F    | 0x5621 | 屐        | <CJK>                                            |
| 0x5C4F  | 0x9BA0    | 0x5622 | 屏        | <CJK>                                            |
| 0x5B71  | 0x9BA1    | 0x5623 | 孱        | <CJK>                                            |
| 0x5C6C  | 0x9BA2    | 0x5624 | 屬        | <CJK>                                            |
| 0x5C6E  | 0x9BA3    | 0x5625 | 屮        | <CJK>                                            |
| 0x4E62  | 0x9BA4    | 0x5626 | 乢        | <CJK>                                            |
| 0x5C76  | 0x9BA5    | 0x5627 | 屶        | <CJK>                                            |
| 0x5C79  | 0x9BA6    | 0x5628 | 屹        | <CJK>                                            |
| 0x5C8C  | 0x9BA7    | 0x5629 | 岌        | <CJK>                                            |
| 0x5C91  | 0x9BA8    | 0x562A | 岑        | <CJK>                                            |
| 0x5C94  | 0x9BA9    | 0x562B | 岔        | <CJK>                                            |
| 0x599B  | 0x9BAA    | 0x562C | 妛        | <CJK>                                            |
| 0x5CAB  | 0x9BAB    | 0x562D | 岫        | <CJK>                                            |
| 0x5CBB  | 0x9BAC    | 0x562E | 岻        | <CJK>                                            |
| 0x5CB6  | 0x9BAD    | 0x562F | 岶        | <CJK>                                            |
| 0x5CBC  | 0x9BAE    | 0x5630 | 岼        | <CJK>                                            |
| 0x5CB7  | 0x9BAF    | 0x5631 | 岷        | <CJK>                                            |
| 0x5CC5  | 0x9BB0    | 0x5632 | 峅        | <CJK>                                            |
| 0x5CBE  | 0x9BB1    | 0x5633 | 岾        | <CJK>                                            |
| 0x5CC7  | 0x9BB2    | 0x5634 | 峇        | <CJK>                                            |
| 0x5CD9  | 0x9BB3    | 0x5635 | 峙        | <CJK>                                            |
| 0x5CE9  | 0x9BB4    | 0x5636 | 峩        | <CJK>                                            |
| 0x5CFD  | 0x9BB5    | 0x5637 | 峽        | <CJK>                                            |
| 0x5CFA  | 0x9BB6    | 0x5638 | 峺        | <CJK>                                            |
| 0x5CED  | 0x9BB7    | 0x5639 | 峭        | <CJK>                                            |
| 0x5D8C  | 0x9BB8    | 0x563A | 嶌        | <CJK>                                            |
| 0x5CEA  | 0x9BB9    | 0x563B | 峪        | <CJK>                                            |
| 0x5D0B  | 0x9BBA    | 0x563C | 崋        | <CJK>                                            |
| 0x5D15  | 0x9BBB    | 0x563D | 崕        | <CJK>                                            |
| 0x5D17  | 0x9BBC    | 0x563E | 崗        | <CJK>                                            |
| 0x5D5C  | 0x9BBD    | 0x563F | 嵜        | <CJK>                                            |
| 0x5D1F  | 0x9BBE    | 0x5640 | 崟        | <CJK>                                            |
| 0x5D1B  | 0x9BBF    | 0x5641 | 崛        | <CJK>                                            |
| 0x5D11  | 0x9BC0    | 0x5642 | 崑        | <CJK>                                            |
| 0x5D14  | 0x9BC1    | 0x5643 | 崔        | <CJK>                                            |
| 0x5D22  | 0x9BC2    | 0x5644 | 崢        | <CJK>                                            |
| 0x5D1A  | 0x9BC3    | 0x5645 | 崚        | <CJK>                                            |
| 0x5D19  | 0x9BC4    | 0x5646 | 崙        | <CJK>                                            |
| 0x5D18  | 0x9BC5    | 0x5647 | 崘        | <CJK>                                            |
| 0x5D4C  | 0x9BC6    | 0x5648 | 嵌        | <CJK>                                            |
| 0x5D52  | 0x9BC7    | 0x5649 | 嵒        | <CJK>                                            |
| 0x5D4E  | 0x9BC8    | 0x564A | 嵎        | <CJK>                                            |
| 0x5D4B  | 0x9BC9    | 0x564B | 嵋        | <CJK>                                            |
| 0x5D6C  | 0x9BCA    | 0x564C | 嵬        | <CJK>                                            |
| 0x5D73  | 0x9BCB    | 0x564D | 嵳        | <CJK>                                            |
| 0x5D76  | 0x9BCC    | 0x564E | 嵶        | <CJK>                                            |
| 0x5D87  | 0x9BCD    | 0x564F | 嶇        | <CJK>                                            |
| 0x5D84  | 0x9BCE    | 0x5650 | 嶄        | <CJK>                                            |
| 0x5D82  | 0x9BCF    | 0x5651 | 嶂        | <CJK>                                            |
| 0x5DA2  | 0x9BD0    | 0x5652 | 嶢        | <CJK>                                            |
| 0x5D9D  | 0x9BD1    | 0x5653 | 嶝        | <CJK>                                            |
| 0x5DAC  | 0x9BD2    | 0x5654 | 嶬        | <CJK>                                            |
| 0x5DAE  | 0x9BD3    | 0x5655 | 嶮        | <CJK>                                            |
| 0x5DBD  | 0x9BD4    | 0x5656 | 嶽        | <CJK>                                            |
| 0x5D90  | 0x9BD5    | 0x5657 | 嶐        | <CJK>                                            |
| 0x5DB7  | 0x9BD6    | 0x5658 | 嶷        | <CJK>                                            |
| 0x5DBC  | 0x9BD7    | 0x5659 | 嶼        | <CJK>                                            |
| 0x5DC9  | 0x9BD8    | 0x565A | 巉        | <CJK>                                            |
| 0x5DCD  | 0x9BD9    | 0x565B | 巍        | <CJK>                                            |
| 0x5DD3  | 0x9BDA    | 0x565C | 巓        | <CJK>                                            |
| 0x5DD2  | 0x9BDB    | 0x565D | 巒        | <CJK>                                            |
| 0x5DD6  | 0x9BDC    | 0x565E | 巖        | <CJK>                                            |
| 0x5DDB  | 0x9BDD    | 0x565F | 巛        | <CJK>                                            |
| 0x5DEB  | 0x9BDE    | 0x5660 | 巫        | <CJK>                                            |
| 0x5DF2  | 0x9BDF    | 0x5661 | 已        | <CJK>                                            |
| 0x5DF5  | 0x9BE0    | 0x5662 | 巵        | <CJK>                                            |
| 0x5E0B  | 0x9BE1    | 0x5663 | 帋        | <CJK>                                            |
| 0x5E1A  | 0x9BE2    | 0x5664 | 帚        | <CJK>                                            |
| 0x5E19  | 0x9BE3    | 0x5665 | 帙        | <CJK>                                            |
| 0x5E11  | 0x9BE4    | 0x5666 | 帑        | <CJK>                                            |
| 0x5E1B  | 0x9BE5    | 0x5667 | 帛        | <CJK>                                            |
| 0x5E36  | 0x9BE6    | 0x5668 | 帶        | <CJK>                                            |
| 0x5E37  | 0x9BE7    | 0x5669 | 帷        | <CJK>                                            |
| 0x5E44  | 0x9BE8    | 0x566A | 幄        | <CJK>                                            |
| 0x5E43  | 0x9BE9    | 0x566B | 幃        | <CJK>                                            |
| 0x5E40  | 0x9BEA    | 0x566C | 幀        | <CJK>                                            |
| 0x5E4E  | 0x9BEB    | 0x566D | 幎        | <CJK>                                            |
| 0x5E57  | 0x9BEC    | 0x566E | 幗        | <CJK>                                            |
| 0x5E54  | 0x9BED    | 0x566F | 幔        | <CJK>                                            |
| 0x5E5F  | 0x9BEE    | 0x5670 | 幟        | <CJK>                                            |
| 0x5E62  | 0x9BEF    | 0x5671 | 幢        | <CJK>                                            |
| 0x5E64  | 0x9BF0    | 0x5672 | 幤        | <CJK>                                            |
| 0x5E47  | 0x9BF1    | 0x5673 | 幇        | <CJK>                                            |
| 0x5E75  | 0x9BF2    | 0x5674 | 幵        | <CJK>                                            |
| 0x5E76  | 0x9BF3    | 0x5675 | 并        | <CJK>                                            |
| 0x5E7A  | 0x9BF4    | 0x5676 | 幺        | <CJK>                                            |
| 0x9EBC  | 0x9BF5    | 0x5677 | 麼        | <CJK>                                            |
| 0x5E7F  | 0x9BF6    | 0x5678 | 广        | <CJK>                                            |
| 0x5EA0  | 0x9BF7    | 0x5679 | 庠        | <CJK>                                            |
| 0x5EC1  | 0x9BF8    | 0x567A | 廁        | <CJK>                                            |
| 0x5EC2  | 0x9BF9    | 0x567B | 廂        | <CJK>                                            |
| 0x5EC8  | 0x9BFA    | 0x567C | 廈        | <CJK>                                            |
| 0x5ED0  | 0x9BFB    | 0x567D | 廐        | <CJK>                                            |
| 0x5ECF  | 0x9BFC    | 0x567E | 廏        | <CJK>                                            |
| 0x5ED6  | 0x9C40    | 0x5721 | 廖        | <CJK>                                            |
| 0x5EE3  | 0x9C41    | 0x5722 | 廣        | <CJK>                                            |
| 0x5EDD  | 0x9C42    | 0x5723 | 廝        | <CJK>                                            |
| 0x5EDA  | 0x9C43    | 0x5724 | 廚        | <CJK>                                            |
| 0x5EDB  | 0x9C44    | 0x5725 | 廛        | <CJK>                                            |
| 0x5EE2  | 0x9C45    | 0x5726 | 廢        | <CJK>                                            |
| 0x5EE1  | 0x9C46    | 0x5727 | 廡        | <CJK>                                            |
| 0x5EE8  | 0x9C47    | 0x5728 | 廨        | <CJK>                                            |
| 0x5EE9  | 0x9C48    | 0x5729 | 廩        | <CJK>                                            |
| 0x5EEC  | 0x9C49    | 0x572A | 廬        | <CJK>                                            |
| 0x5EF1  | 0x9C4A    | 0x572B | 廱        | <CJK>                                            |
| 0x5EF3  | 0x9C4B    | 0x572C | 廳        | <CJK>                                            |
| 0x5EF0  | 0x9C4C    | 0x572D | 廰        | <CJK>                                            |
| 0x5EF4  | 0x9C4D    | 0x572E | 廴        | <CJK>                                            |
| 0x5EF8  | 0x9C4E    | 0x572F | 廸        | <CJK>                                            |
| 0x5EFE  | 0x9C4F    | 0x5730 | 廾        | <CJK>                                            |
| 0x5F03  | 0x9C50    | 0x5731 | 弃        | <CJK>                                            |
| 0x5F09  | 0x9C51    | 0x5732 | 弉        | <CJK>                                            |
| 0x5F5D  | 0x9C52    | 0x5733 | 彝        | <CJK>                                            |
| 0x5F5C  | 0x9C53    | 0x5734 | 彜        | <CJK>                                            |
| 0x5F0B  | 0x9C54    | 0x5735 | 弋        | <CJK>                                            |
| 0x5F11  | 0x9C55    | 0x5736 | 弑        | <CJK>                                            |
| 0x5F16  | 0x9C56    | 0x5737 | 弖        | <CJK>                                            |
| 0x5F29  | 0x9C57    | 0x5738 | 弩        | <CJK>                                            |
| 0x5F2D  | 0x9C58    | 0x5739 | 弭        | <CJK>                                            |
| 0x5F38  | 0x9C59    | 0x573A | 弸        | <CJK>                                            |
| 0x5F41  | 0x9C5A    | 0x573B | 彁        | <CJK>                                            |
| 0x5F48  | 0x9C5B    | 0x573C | 彈        | <CJK>                                            |
| 0x5F4C  | 0x9C5C    | 0x573D | 彌        | <CJK>                                            |
| 0x5F4E  | 0x9C5D    | 0x573E | 彎        | <CJK>                                            |
| 0x5F2F  | 0x9C5E    | 0x573F | 弯        | <CJK>                                            |
| 0x5F51  | 0x9C5F    | 0x5740 | 彑        | <CJK>                                            |
| 0x5F56  | 0x9C60    | 0x5741 | 彖        | <CJK>                                            |
| 0x5F57  | 0x9C61    | 0x5742 | 彗        | <CJK>                                            |
| 0x5F59  | 0x9C62    | 0x5743 | 彙        | <CJK>                                            |
| 0x5F61  | 0x9C63    | 0x5744 | 彡        | <CJK>                                            |
| 0x5F6D  | 0x9C64    | 0x5745 | 彭        | <CJK>                                            |
| 0x5F73  | 0x9C65    | 0x5746 | 彳        | <CJK>                                            |
